ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
0	50	8.0	15.386287337133766	56.4067863746025	57.6954448556408	18.07236862207127
1	50	8.0	29.761394579645838	60.85876988306747	51.02790001936638	17.620849675815546
2	50	8.0	30.24892293694083	64.09770324029698	68.95136053906896	21.17502532504335
3	50	8.0	11.993333628962006	38.54360810790766	99.44011629246708	30.869594792836914
4	50	8.0	19.79059275560084	64.50720339217224	53.26791688108226	17.920268284337133
5	50	8.0	38.941637900804594	70.3091140301031	70.09751983196148	20.28679662285903
6	50	8.0	27.304778467608358	62.48710335593482	110.58835578476743	33.22839313372688
7	50	8.0	13.879623525869818	49.049198272482876	71.29777883904757	23.168440484921966
8	50	8.0	10.444070201925626	44.01845611686961	85.18820254367728	25.96186964365622
9	50	8.0	45.73328763106026	77.60402462394438	77.3360727275492	26.368790555117155
10	100	4.0	30.476261156403865	60.93678514848075	57.14795823915475	15.92269931867079
11	100	4.0	13.326710841042129	48.001119669157774	44.783492760685164	12.883335284186343
12	100	4.0	39.089470250956815	66.9515557801669	80.10216312897764	22.555441000472815
13	100	4.0	21.76589367098188	59.602014323083054	59.00498913677449	17.05924485956091
14	100	4.0	23.18601285628074	57.238305151653094	89.93422859742827	28.716391124657235
15	100	4.0	28.099658911097208	59.10558542120016	57.9074654862763	17.095869942421462
16	100	4.0	38.16008952250127	66.96461623491234	39.47182742631299	11.019000225678221
17	100	4.0	19.093063190777258	57.77115839257958	53.24452175999488	14.41579431391245
18	100	4.0	18.776711456445682	48.713566888987735	53.33889351568114	17.677200164986232
19	100	4.0	45.896134125014335	73.91441792249736	54.3270551022355	15.90832223249092
20	150	2.666666666666667	32.37593461808676	70.37745963913397	50.762190278349905	14.803055715008547
21	150	2.666666666666667	21.67146001040659	55.12687739179609	47.901211440466774	13.603341597689953
22	150	2.666666666666667	42.21199599890214	73.9303638241797	49.558808704642104	13.8148563039487
23	150	2.666666666666667	49.617138469429136	74.22102148509643	59.44958056740464	16.32250142724261
24	150	2.666666666666667	12.76178233808794	49.14058747416416	70.60842773748452	18.194883931656054
25	150	2.666666666666667	34.24314697338765	65.03020814860548	72.7085569023551	23.047173915717313
26	150	2.666666666666667	31.07182213617841	65.02142888701232	64.21644992677129	18.308571752944502
27	150	2.666666666666667	12.41311270333334	38.594595640671116	49.42907964341219	13.821056359247077
28	150	2.666666666666667	39.34812906394204	69.40051298394057	72.24011822147324	18.045833684626185
29	150	2.666666666666667	38.373494605223456	65.2883299746631	57.634497723045044	16.6312891838232
