ID,st_vseh,delez_izbranih_tock,relativna_napaka_ploscine_1,relativna_napaka_obseg_1,relativna_napaka_ploscine_krog,relativna_napaka_obseg_krog
0,50,8.0,21.72985346460385,59.046058190445386,56.93643917673038,71.7876970192881
1,50,8.0,14.214122112230967,42.82844949002262,57.95499381795891,77.07220981447948
2,50,8.0,40.39352880477472,68.39273893195086,48.18579168607285,67.45076305580179
3,50,8.0,38.31777754420944,72.50122758705297,66.72088863354931,85.18112703870109
4,50,8.0,29.294420071457523,62.3824090005342,52.73544628752641,72.67435102363272
5,50,8.0,21.569751625126287,54.783991949423786,59.705974684397546,79.22158756638161
6,50,8.0,18.47459109155446,52.88507292638342,64.73615045480278,84.1021208308801
7,50,8.0,11.045368603953136,45.98006964146235,65.60819622862266,84.2169597363085
8,50,8.0,31.710314292258886,68.28921119694814,55.41420404451357,76.4143763901057
9,50,8.0,40.664459994798285,74.31561307451422,63.99726585722745,82.74422938425096
10,60,6.666666666666667,32.27778506779606,72.65398870733787,67.79083111002971,85.89109696936286
11,60,6.666666666666667,28.321799503076505,65.70207847351524,64.49256400349364,83.04920123111832
12,60,6.666666666666667,36.53245565560821,64.65055165773622,55.4489592004218,76.13230117900058
13,60,6.666666666666667,34.19881253811043,66.3532153321941,55.24379145852311,74.81845141725795
14,60,6.666666666666667,48.553276625304676,78.37386732351987,58.30665991868096,76.67417584548566
15,60,6.666666666666667,46.812578224983966,79.00656637666303,63.13674364555056,80.44062478194598
16,60,6.666666666666667,31.289222350946233,64.10021049967557,63.206534427871105,84.44928512038403
17,60,6.666666666666667,58.67769975117803,86.88538291150502,63.781512554349305,82.14441687833614
18,60,6.666666666666667,29.241541400233885,68.34473225658088,58.48373449285555,82.5491539997403
19,60,6.666666666666667,18.778876158454423,48.63640463532878,55.85698814990923,76.27482701977745
