ID,st_vseh,relativna_napaka_ploscine_krog,relativna_napaka_obseg_krog
0,50,21.080789489974364,74.19027671418957
1,50,22.97433001999069,76.34345106697235
2,50,2.160979629842501,68.65033658369396
3,50,37.39587223355316,80.76096105215541
4,50,54.30932849123544,87.21054294938327
5,50,47.09169439141749,82.76120244793752
6,50,32.691904647955525,77.05846783807226
7,50,42.390238394047685,84.28571017349219
8,50,26.441086247126577,78.49107604978855
9,50,12.003332677642788,71.02030793188607
10,60,5.776094270888791,73.78871211972807
11,60,44.677045883783215,84.32108212738852
12,60,9.184282013211003,70.69412932175248
13,60,31.640375971886925,79.11562089016832
14,60,43.366036740603555,85.35524203682954
15,60,23.076697889024075,78.40035160606153
16,60,43.623344892178864,83.18068349417719
17,60,38.34178478348931,83.77153244222356
18,60,47.65970341480875,83.85561348757852
19,60,48.22350954885346,83.02259890137306
20,70,-0.6630427157102048,69.57516230640883
21,70,41.30581811400145,82.61841108834699
22,70,61.9559670040935,87.21996326790284
23,70,27.028616345426542,77.3163546801027
24,70,54.3160521378001,87.37888237640854
25,70,34.36433839827173,80.23799864592493
26,70,28.41071521514897,80.77283094588752
27,70,43.2996662866296,84.8739102835883
28,70,9.635877614061286,74.15169193177438
29,70,37.40071198006297,79.53318823641052
30,80,10.16688550825019,70.61753425659214
31,80,46.551457542069386,84.32814929650412
32,80,44.73580411049781,83.55439617941252
33,80,48.05972607938784,84.31670590305376
34,80,57.442507266815994,87.79097162532935
35,80,27.464222484140294,80.57591843401049
36,80,16.466412984721117,72.47000959374475
37,80,14.889907242519172,71.66825179165772
38,80,47.91679952948117,84.34746059309676
39,80,21.75571877847996,77.33085089694197
40,90,33.217725449001335,80.22304170059898
41,90,34.81536413666919,81.8072500600441
42,90,39.090791891395845,80.73138365712492
43,90,52.948869131207324,87.27490427642212
44,90,31.346811001305994,81.1690257366806
45,90,42.57092067750381,81.22314999480285
46,90,48.67909164630743,83.27092732533436
47,90,50.42649627883489,83.9147685121053
48,90,34.13207524767347,82.36573194051724
49,90,32.319284961993205,77.29666029870202
